,Time (sec),PT1 (psi),PT2 (psi),V (V),I (A),Flow Rate (GPM)
414,98.824,1.7401,1.2203,0.2846,0.101,7.3831
415,99.156,1.7836,1.1958,0.2571,0.1214,6.132
416,99.489,1.8016,1.2089,0.2447,0.11,6.1115
417,99.822,1.7684,1.2215,0.2664,0.1026,7.3093
418,100.155,1.7719,1.2366,0.2496,0.1038,6.0708
419,100.489,1.7703,1.1877,0.282,0.1112,4.8405
420,100.824,1.7128,1.1877,0.2621,0.1115,7.2367
421,101.158,1.5913,1.2691,0.2531,0.1018,7.2128
422,101.493,1.7523,1.1812,0.24,0.1033,7.189
423,101.829,1.7721,1.1863,0.2423,0.1076,5.971
424,102.164,1.7901,1.2023,0.2647,0.115,4.7612
425,102.5,1.7613,1.2023,0.2626,0.0992,7.1184
426,102.836,1.5888,1.2317,0.2583,0.1134,7.0951
427,103.172,1.7577,1.1779,0.2451,0.0946,5.8933
428,103.51,1.7847,1.204,0.2917,0.1109,4.6993
429,103.847,1.7976,1.1812,0.2701,0.1049,5.855
430,104.184,1.7956,1.2154,0.2697,0.115,7.0033
431,104.522,1.7092,1.2851,0.2929,0.1083,6.9806
432,104.86,1.7901,1.2726,0.2457,0.1142,6.9581
433,105.198,1.7631,1.1899,0.2716,0.1139,6.9358
434,105.537,1.738,1.1763,0.2544,0.1038,6.9135
